"Average D conjugations","Average T conjugations","tick","run","random_seed"
0.0,0.0,0.0,1,871799474
0.0,0.0,1.0,1,871799474
0.0,0.0,11.0,1,871799474
0.0,0.0,21.0,1,871799474
0.0,0.0,31.0,1,871799474
0.0,0.0,41.0,1,871799474
0.0,0.0,51.0,1,871799474
0.0,0.0,61.0,1,871799474
0.0,0.0,71.0,1,871799474
0.0,0.0,81.0,1,871799474
0.0,0.0,91.0,1,871799474
0.0,0.0,101.0,1,871799474
0.0,0.0,111.0,1,871799474
0.0,0.0,121.0,1,871799474
0.0,0.0,131.0,1,871799474
0.0021786492374727667,0.0,141.0,1,871799474
0.0017793594306049834,0.0,151.0,1,871799474
0.0015151515151515165,0.0,161.0,1,871799474
0.0036991368680641206,0.0,171.0,1,871799474
0.004024144869215297,0.0,181.0,1,871799474
0.0033783783783783794,0.0,191.0,1,871799474
