"tick","run","random_seed","Rate (T/(R+T))"
0.0,1,871799474,"0.0"
1.0,1,871799474,"0.0"
11.0,1,871799474,"0.0"
21.0,1,871799474,"0.0"
31.0,1,871799474,"0.0"
41.0,1,871799474,"0.0"
51.0,1,871799474,"0.0"
61.0,1,871799474,"0.0"
71.0,1,871799474,"0.0"
81.0,1,871799474,"0.0"
91.0,1,871799474,"0.0"
101.0,1,871799474,"0.0"
111.0,1,871799474,"0.0"
121.0,1,871799474,"0.0"
131.0,1,871799474,"0.0"
141.0,1,871799474,"0.004048582995951417"
151.0,1,871799474,"0.006666666666666667"
161.0,1,871799474,"0.005571030640668524"
171.0,1,871799474,"0.011627906976744186"
181.0,1,871799474,"0.012962962962962963"
191.0,1,871799474,"0.010835913312693499"
