"tick","run","random_seed","Gamma end-point (D growth rate)","Gamma end-point (D+R+T growth rate)","Gamma end-point (T growth rate)"
0.0,1,871799474,"0.0","0.0","0.0"
1.0,1,871799474,"0.0","0.0","0.0"
11.0,1,871799474,"0.0","0.0","0.0"
21.0,1,871799474,"0.0","0.0","0.0"
31.0,1,871799474,"0.0","0.0","0.0"
41.0,1,871799474,"0.0","0.0","0.0"
51.0,1,871799474,"0.0","0.0","0.0"
61.0,1,871799474,"0.0","0.0","0.0"
71.0,1,871799474,"0.0","0.0","0.0"
81.0,1,871799474,"0.0","0.0","0.0"
91.0,1,871799474,"0.0","0.0","0.0"
101.0,1,871799474,"0.0","0.0","0.0"
111.0,1,871799474,"0.0","0.0","0.0"
121.0,1,871799474,"0.0","0.0","0.0"
131.0,1,871799474,"0.0","0.0","0.0"
141.0,1,871799474,"2.0216018901497034E-10","2.0216018901497034E-10","0.0"
151.0,1,871799474,"2.6843903327772445E-10","2.6843903327772445E-10","0.0"
161.0,1,871799474,"1.9249317313283664E-10","1.9249317313283664E-10","0.0"
171.0,1,871799474,"3.1780666243763816E-10","3.1780666243763816E-10","0.0"
181.0,1,871799474,"2.976731158725643E-10","2.976731158725643E-10","0.0"
191.0,1,871799474,"2.0887647316794396E-10","2.0887647316794396E-10","0.0"
