"tick","run","random_seed","Population (D+R+T)","Population (T)","Population (D)","Population (R)"
0.0,1,871799474,"5000.0","0.0","2500.0","2500.0"
1.0,1,871799474,"5000.0","0.0","2500.0","2500.0"
11.0,1,871799474,"5000.0","0.0","2500.0","2500.0"
21.0,1,871799474,"5000.0","0.0","2500.0","2500.0"
31.0,1,871799474,"6300.0","0.0","2900.0","3400.0"
41.0,1,871799474,"8500.0","0.0","4200.0","4300.0"
51.0,1,871799474,"9300.0","0.0","4800.0","4500.0"
61.0,1,871799474,"10900.0","0.0","5300.0","5600.0"
71.0,1,871799474,"13100.0","0.0","6500.0","6600.0"
81.0,1,871799474,"15500.0","0.0","7600.0","7900.0"
91.0,1,871799474,"18500.0","0.0","8800.0","9700.0"
101.0,1,871799474,"22900.0","0.0","11100.0","11800.0"
111.0,1,871799474,"26400.0","0.0","12800.0","13600.0"
121.0,1,871799474,"31900.0","0.0","14900.0","17000.0"
131.0,1,871799474,"38600.0","0.0","18200.0","20400.0"
141.0,1,871799474,"45900.0","100.0","21200.0","24600.0"
151.0,1,871799474,"56200.0","200.0","26200.0","29800.0"
161.0,1,871799474,"66000.0","200.0","30100.0","35700.0"
171.0,1,871799474,"81100.0","500.0","38100.0","42500.0"
181.0,1,871799474,"99400.0","700.0","45400.0","53300.0"
191.0,1,871799474,"118400.0","700.0","53800.0","63900.0"
