"tick","run","random_seed","Relative contribution of horizontal transfer","Relative contribution of vertical transfer","Relative contribution of transconjugants re-transfers"
0.0,1,871799474,"0.0","0.0","0.0"
1.0,1,871799474,"0.0","0.0","0.0"
11.0,1,871799474,"0.0","0.0","0.0"
21.0,1,871799474,"0.0","0.0","0.0"
31.0,1,871799474,"0.0","0.0","0.0"
41.0,1,871799474,"0.0","0.0","0.0"
51.0,1,871799474,"0.0","0.0","0.0"
61.0,1,871799474,"0.0","0.0","0.0"
71.0,1,871799474,"0.0","0.0","0.0"
81.0,1,871799474,"0.0","0.0","0.0"
91.0,1,871799474,"0.0","0.0","0.0"
101.0,1,871799474,"0.0","0.0","0.0"
111.0,1,871799474,"0.0","0.0","0.0"
121.0,1,871799474,"0.0","0.0","0.0"
131.0,1,871799474,"0.0","0.0","0.0"
141.0,1,871799474,"0.0","0.0","0.0"
151.0,1,871799474,"1.0","0.0","0.0"
161.0,1,871799474,"0.5","0.5","0.0"
171.0,1,871799474,"0.5","0.5","0.0"
181.0,1,871799474,"0.6","0.4","0.0"
191.0,1,871799474,"0.5714285714285714","0.42857142857142855","0.0"
