"tick","run","random_seed","Population (D+R+T)","Population (T)","Population (D)","Population (R)"
0.0,1,2142018072,"5000.0","0.0","2500.0","2500.0"
1.0,1,2142018072,"5000.0","0.0","2500.0","2500.0"
3.0,1,2142018072,"5000.0","0.0","2500.0","2500.0"
5.0,1,2142018072,"5000.0","0.0","2500.0","2500.0"
7.0,1,2142018072,"5000.0","0.0","2500.0","2500.0"
9.0,1,2142018072,"5000.0","0.0","2500.0","2500.0"
11.0,1,2142018072,"5000.0","0.0","2500.0","2500.0"
13.0,1,2142018072,"5000.0","0.0","2500.0","2500.0"
15.0,1,2142018072,"5000.0","0.0","2500.0","2500.0"
17.0,1,2142018072,"5000.0","0.0","2500.0","2500.0"
19.0,1,2142018072,"5000.0","0.0","2500.0","2500.0"
21.0,1,2142018072,"5100.0","0.0","2500.0","2600.0"
23.0,1,2142018072,"5100.0","0.0","2500.0","2600.0"
25.0,1,2142018072,"5400.0","0.0","2600.0","2800.0"
27.0,1,2142018072,"5800.0","0.0","2700.0","3100.0"
29.0,1,2142018072,"6200.0","0.0","2800.0","3400.0"
31.0,1,2142018072,"6500.0","0.0","2900.0","3600.0"
33.0,1,2142018072,"7100.0","0.0","3100.0","4000.0"
35.0,1,2142018072,"7600.0","0.0","3400.0","4200.0"
37.0,1,2142018072,"7700.0","0.0","3500.0","4200.0"
39.0,1,2142018072,"8100.0","0.0","3700.0","4400.0"
41.0,1,2142018072,"8500.0","0.0","4000.0","4500.0"
43.0,1,2142018072,"8600.0","0.0","4000.0","4600.0"
45.0,1,2142018072,"8800.0","0.0","4100.0","4700.0"
47.0,1,2142018072,"8800.0","0.0","4100.0","4700.0"
49.0,1,2142018072,"9400.0","0.0","4500.0","4900.0"
51.0,1,2142018072,"9900.0","0.0","4800.0","5100.0"
53.0,1,2142018072,"10100.0","0.0","4800.0","5300.0"
55.0,1,2142018072,"10400.0","0.0","4800.0","5600.0"
57.0,1,2142018072,"10800.0","0.0","4800.0","6000.0"
59.0,1,2142018072,"11100.0","0.0","4800.0","6300.0"
61.0,1,2142018072,"11500.0","0.0","4900.0","6600.0"
63.0,1,2142018072,"11800.0","0.0","5000.0","6800.0"
65.0,1,2142018072,"12400.0","0.0","5400.0","7000.0"
67.0,1,2142018072,"13200.0","0.0","5800.0","7400.0"
69.0,1,2142018072,"13600.0","0.0","6000.0","7600.0"
71.0,1,2142018072,"13900.0","0.0","6100.0","7800.0"
73.0,1,2142018072,"15300.0","0.0","6700.0","8600.0"
75.0,1,2142018072,"15700.0","0.0","6900.0","8800.0"
77.0,1,2142018072,"16000.0","0.0","7000.0","9000.0"
79.0,1,2142018072,"16900.0","0.0","7200.0","9700.0"
81.0,1,2142018072,"17400.0","0.0","7500.0","9900.0"
83.0,1,2142018072,"18000.0","0.0","7600.0","10400.0"
85.0,1,2142018072,"18600.0","0.0","7800.0","10800.0"
87.0,1,2142018072,"19300.0","0.0","8100.0","11200.0"
89.0,1,2142018072,"20200.0","0.0","8400.0","11800.0"
91.0,1,2142018072,"20800.0","0.0","8500.0","12300.0"
93.0,1,2142018072,"21100.0","0.0","8800.0","12300.0"
95.0,1,2142018072,"21700.0","0.0","9000.0","12700.0"
97.0,1,2142018072,"22900.0","0.0","9800.0","13100.0"
99.0,1,2142018072,"24100.0","0.0","9900.0","14200.0"
101.0,1,2142018072,"25800.0","0.0","10600.0","15200.0"
103.0,1,2142018072,"26700.0","0.0","10900.0","15800.0"
105.0,1,2142018072,"27700.0","0.0","11100.0","16600.0"
107.0,1,2142018072,"28900.0","0.0","11400.0","17500.0"
109.0,1,2142018072,"29900.0","0.0","11700.0","18200.0"
111.0,1,2142018072,"30700.0","0.0","12100.0","18600.0"
113.0,1,2142018072,"32000.0","100.0","12600.0","19300.0"
115.0,1,2142018072,"33500.0","100.0","13300.0","20100.0"
117.0,1,2142018072,"34700.0","100.0","13400.0","21200.0"
119.0,1,2142018072,"35300.0","100.0","13700.0","21500.0"
121.0,1,2142018072,"36500.0","200.0","14000.0","22300.0"
123.0,1,2142018072,"37800.0","200.0","14600.0","23000.0"
125.0,1,2142018072,"39000.0","200.0","15200.0","23600.0"
127.0,1,2142018072,"40000.0","200.0","15500.0","24300.0"
129.0,1,2142018072,"41800.0","200.0","16300.0","25300.0"
131.0,1,2142018072,"44000.0","200.0","16800.0","27000.0"
133.0,1,2142018072,"46100.0","200.0","17900.0","28000.0"
135.0,1,2142018072,"48800.0","200.0","18500.0","30100.0"
137.0,1,2142018072,"50400.0","200.0","19100.0","31100.0"
139.0,1,2142018072,"52500.0","200.0","19900.0","32400.0"
141.0,1,2142018072,"54600.0","200.0","20600.0","33800.0"
143.0,1,2142018072,"56200.0","200.0","20900.0","35100.0"
145.0,1,2142018072,"58700.0","200.0","21600.0","36900.0"
147.0,1,2142018072,"60600.0","200.0","22400.0","38000.0"
149.0,1,2142018072,"62600.0","200.0","23100.0","39300.0"
151.0,1,2142018072,"64800.0","200.0","23800.0","40800.0"
153.0,1,2142018072,"67300.0","200.0","24500.0","42600.0"
