"tick","run","random_seed","Gamma end-point (D growth rate)","Gamma end-point (D+R+T growth rate)","Gamma end-point (T growth rate)"
0.0,1,1498347502,"0.0","0.0","0.0"
1.0,1,1498347502,"0.0","0.0","0.0"
11.0,1,1498347502,"0.0","0.0","0.0"
21.0,1,1498347502,"0.0","0.0","0.0"
31.0,1,1498347502,"0.0","0.0","0.0"
41.0,1,1498347502,"3.997907961039084E-9","3.997907961039084E-9","0.0"
51.0,1,1498347502,"2.7796944188881615E-9","2.7796944188881615E-9","0.0"
61.0,1,1498347502,"3.138918385253139E-9","3.138918385253139E-9","0.0"
71.0,1,1498347502,"3.894296937230546E-9","3.894296937230546E-9","0.0"
81.0,1,1498347502,"3.296062213374614E-9","3.296062213374614E-9","0.0"
91.0,1,1498347502,"2.9678972038543374E-9","2.9678972038543374E-9","0.0"
101.0,1,1498347502,"2.1664068609731278E-9","2.1664068609731278E-9","0.0"
111.0,1,1498347502,"2.312382080684244E-9","2.312382080684244E-9","0.0"
121.0,1,1498347502,"1.9688511786142394E-9","1.9688511786142394E-9","0.0"
131.0,1,1498347502,"1.937528027287799E-9","1.937528027287799E-9","0.0"
141.0,1,1498347502,"1.5679483905787983E-9","1.5679483905787983E-9","0.0"
151.0,1,1498347502,"1.219988183704224E-9","1.219988183704224E-9","0.0"
161.0,1,1498347502,"1.0411425125616632E-9","1.0411425125616632E-9","0.0"
171.0,1,1498347502,"8.964094425915235E-10","8.964094425915235E-10","0.0"
181.0,1,1498347502,"7.930878569624194E-10","7.930878569624194E-10","0.0"
191.0,1,1498347502,"6.774983197523043E-10","6.774983197523043E-10","0.0"
201.0,1,1498347502,"5.505942501478284E-10","5.505942501478284E-10","0.0"
211.0,1,1498347502,"4.956252598730579E-10","4.956252598730579E-10","0.0"
221.0,1,1498347502,"4.2343608704898554E-10","4.2343608704898554E-10","2.122106205485728E-11"
231.0,1,1498347502,"3.6521361778807936E-10","3.6521361778807936E-10","3.668709844278209E-11"
241.0,1,1498347502,"3.137095320878771E-10","3.137095320878771E-10","4.7594657923220735E-11"
251.0,1,1498347502,"2.66902796863492E-10","2.66902796863492E-10","5.0776979326834194E-11"
261.0,1,1498347502,"2.3635282289820855E-10","2.3635282289820855E-10","5.468109873195395E-11"
271.0,1,1498347502,"2.0578762988574985E-10","2.0578762988574985E-10","5.412120300149193E-11"
281.0,1,1498347502,"1.8178377463508863E-10","1.8178377463508863E-10","5.3945618243117496E-11"
291.0,1,1498347502,"1.6412243589573955E-10","1.6412243589573955E-10","5.382775917283578E-11"
301.0,1,1498347502,"1.4490400033167336E-10","1.4490400033167336E-10","5.071993197959669E-11"
311.0,1,1498347502,"1.3020771891071768E-10","1.3020771891071768E-10","4.860172826873895E-11"
321.0,1,1498347502,"1.1832741152106152E-10","1.1832741152106152E-10","4.6627914089808184E-11"
331.0,1,1498347502,"1.0732779224876978E-10","1.0732779224876978E-10","4.445587404437502E-11"
341.0,1,1498347502,"9.776472773670315E-11","9.776472773670315E-11","4.2361052126951664E-11"
351.0,1,1498347502,"8.962033933541688E-11","8.962033933541688E-11","4.033495148120627E-11"
361.0,1,1498347502,"8.220576529924537E-11","8.220576529924537E-11","3.8247167234079295E-11"
371.0,1,1498347502,"7.532531299338779E-11","7.532531299338779E-11","3.6056786149395244E-11"
381.0,1,1498347502,"6.975676915617683E-11","6.975676915617683E-11","3.437465055172006E-11"
391.0,1,1498347502,"6.463232320421141E-11","6.463232320421141E-11","3.269253849303511E-11"
401.0,1,1498347502,"6.031774695080598E-11","6.031774695080598E-11","3.126153998067044E-11"
411.0,1,1498347502,"5.627527231748879E-11","5.627527231748879E-11","2.981523306213056E-11"
421.0,1,1498347502,"5.2527743648367546E-11","5.2527743648367546E-11","2.8374142443993997E-11"
431.0,1,1498347502,"4.9157027081338186E-11","4.9157027081338186E-11","2.7074265736208413E-11"
441.0,1,1498347502,"4.614677795725062E-11","4.614677795725062E-11","2.5853887761724894E-11"
451.0,1,1498347502,"4.341712840610262E-11","4.341712840610262E-11","2.4723799970428292E-11"
