"tick","run","random_seed","Population (D+R+T)","Population (T)","Population (D)","Population (R)"
0.0,1,1497008596,"5000.0","0.0","700.0","4300.0"
1.0,1,1497008596,"5000.0","0.0","700.0","4300.0"
11.0,1,1497008596,"5000.0","0.0","700.0","4300.0"
21.0,1,1497008596,"5000.0","0.0","700.0","4300.0"
31.0,1,1497008596,"6800.0","0.0","800.0","6000.0"
41.0,1,1497008596,"8300.0","0.0","900.0","7400.0"
51.0,1,1497008596,"9300.0","0.0","1200.0","8100.0"
61.0,1,1497008596,"11300.0","0.0","1500.0","9800.0"
71.0,1,1497008596,"13700.0","100.0","1700.0","11900.0"
81.0,1,1497008596,"16200.0","100.0","2000.0","14100.0"
91.0,1,1497008596,"19200.0","200.0","2200.0","16800.0"
101.0,1,1497008596,"23700.0","200.0","2900.0","20600.0"
111.0,1,1497008596,"27800.0","200.0","3100.0","24500.0"
121.0,1,1497008596,"34600.0","400.0","3900.0","30300.0"
131.0,1,1497008596,"42200.0","500.0","5100.0","36600.0"
141.0,1,1497008596,"50300.0","500.0","5600.0","44200.0"
151.0,1,1497008596,"61900.0","800.0","6900.0","54200.0"
161.0,1,1497008596,"76000.0","800.0","8200.0","67000.0"
171.0,1,1497008596,"91700.0","1100.0","10400.0","80200.0"
181.0,1,1497008596,"111600.0","1400.0","11900.0","98300.0"
191.0,1,1497008596,"137200.0","1900.0","14500.0","120800.0"
201.0,1,1497008596,"167900.0","2300.0","18000.0","147600.0"
211.0,1,1497008596,"204500.0","2800.0","21100.0","180600.0"
221.0,1,1497008596,"251600.0","3900.0","26000.0","221700.0"
231.0,1,1497008596,"307300.0","4800.0","31400.0","271100.0"
241.0,1,1497008596,"373900.0","6100.0","37600.0","330200.0"
251.0,1,1497008596,"459700.0","8800.0","46400.0","404500.0"
261.0,1,1497008596,"561500.0","11300.0","55200.0","495000.0"
271.0,1,1497008596,"689200.0","14800.0","67100.0","607300.0"
281.0,1,1497008596,"840100.0","20000.0","81000.0","739100.0"
291.0,1,1497008596,"1019500.0","25800.0","96400.0","897300.0"
301.0,1,1497008596,"1232400.0","33000.0","114900.0","1084500.0"
311.0,1,1497008596,"1480800.0","42700.0","136700.0","1301400.0"
321.0,1,1497008596,"1759600.0","52300.0","159100.0","1548200.0"
331.0,1,1497008596,"2077900.0","63600.0","187800.0","1826500.0"
341.0,1,1497008596,"2445700.0","77500.0","217100.0","2151100.0"
351.0,1,1497008596,"2856100.0","94700.0","248600.0","2512800.0"
361.0,1,1497008596,"3311300.0","111800.0","285000.0","2914500.0"
371.0,1,1497008596,"3799600.0","134700.0","323500.0","3341400.0"
381.0,1,1497008596,"4352400.0","158300.0","364800.0","3829300.0"
391.0,1,1497008596,"4918300.0","183500.0","404700.0","4330100.0"
401.0,1,1497008596,"5531800.0","210700.0","449400.0","4871700.0"
411.0,1,1497008596,"6183900.0","239800.0","495700.0","5448400.0"
421.0,1,1497008596,"6884500.0","274600.0","545300.0","6064600.0"
431.0,1,1497008596,"7627900.0","310400.0","595800.0","6721700.0"
441.0,1,1497008596,"8412500.0","346000.0","649800.0","7416700.0"
451.0,1,1497008596,"9262000.0","385800.0","706500.0","8169700.0"
461.0,1,1497008596,"1.014E7","427600.0","762000.0","8950400.0"
471.0,1,1497008596,"1.10732E7","473700.0","822300.0","9777200.0"
481.0,1,1497008596,"1.20409E7","522300.0","881400.0","1.06372E7"
491.0,1,1497008596,"1.30521E7","568800.0","943400.0","1.15399E7"
501.0,1,1497008596,"1.41189E7","619500.0","1007900.0","1.24915E7"
511.0,1,1497008596,"1.5208E7","673700.0","1075100.0","1.34592E7"
521.0,1,1497008596,"1.63577E7","726600.0","1143800.0","1.44873E7"
531.0,1,1497008596,"1.7545E7","786000.0","1210800.0","1.55482E7"
541.0,1,1497008596,"1.87801E7","848200.0","1284400.0","1.66475E7"
551.0,1,1497008596,"2.00518E7","911700.0","1357700.0","1.77824E7"
561.0,1,1497008596,"2.13879E7","976500.0","1431000.0","1.89804E7"
571.0,1,1497008596,"2.27535E7","1044600.0","1503400.0","2.02055E7"
581.0,1,1497008596,"2.4162E7","1114200.0","1579800.0","2.1468E7"
591.0,1,1497008596,"2.56091E7","1189200.0","1655200.0","2.27647E7"
