"tick","run","random_seed","Relative contribution of horizontal transfer","Relative contribution of vertical transfer","Relative contribution of transconjugants re-transfers"
0.0,1,1498347502,"0.21176470588235294","0.788235294117647","0.1388888888888889"
1.0,1,1498347502,"0.0","0.0","0.0"
11.0,1,1498347502,"0.0","0.0","0.0"
21.0,1,1498347502,"0.0","0.0","0.0"
31.0,1,1498347502,"0.0","0.0","0.0"
41.0,1,1498347502,"0.0","0.0","0.0"
51.0,1,1498347502,"1.0","0.0","0.0"
61.0,1,1498347502,"1.0","0.0","0.0"
71.0,1,1498347502,"0.5","0.5","0.0"
81.0,1,1498347502,"0.5","0.5","0.0"
91.0,1,1498347502,"0.6","0.4","0.0"
101.0,1,1498347502,"0.5714285714285714","0.42857142857142855","0.0"
111.0,1,1498347502,"0.5","0.5","0.0"
121.0,1,1498347502,"0.46153846153846156","0.5384615384615384","0.0"
131.0,1,1498347502,"0.4117647058823529","0.5882352941176471","0.0"
141.0,1,1498347502,"0.4","0.6","0.2"
151.0,1,1498347502,"0.3548387096774194","0.6451612903225806","0.18181818181818182"
161.0,1,1498347502,"0.3783783783783784","0.6216216216216216","0.14285714285714285"
171.0,1,1498347502,"0.3191489361702128","0.6808510638297872","0.2"
181.0,1,1498347502,"0.3225806451612903","0.6774193548387096","0.25"
191.0,1,1498347502,"0.2804878048780488","0.7195121951219512","0.2608695652173913"
201.0,1,1498347502,"0.22857142857142856","0.7714285714285715","0.25"
211.0,1,1498347502,"0.24031007751937986","0.7596899224806202","0.25806451612903225"
221.0,1,1498347502,"0.24431818181818182","0.7556818181818182","0.27906976744186046"
231.0,1,1498347502,"0.21551724137931033","0.7844827586206896","0.24"
241.0,1,1498347502,"0.21107266435986158","0.7889273356401384","0.19672131147540983"
251.0,1,1498347502,"0.20108695652173914","0.7989130434782609","0.1891891891891892"
261.0,1,1498347502,"0.19555555555555557","0.8044444444444444","0.18181818181818182"
271.0,1,1498347502,"0.18971631205673758","0.8102836879432624","0.22429906542056074"
281.0,1,1498347502,"0.17862371888726208","0.821376281112738","0.23770491803278687"
291.0,1,1498347502,"0.18171021377672208","0.8182897862232779","0.3006535947712418"
301.0,1,1498347502,"0.19070667957405615","0.8092933204259438","0.3553299492385787"
311.0,1,1498347502,"0.18271604938271604","0.817283950617284","0.38738738738738737"
321.0,1,1498347502,"0.180998613037448","0.819001386962552","0.38697318007662834"
331.0,1,1498347502,"0.1847697756788666","0.8152302243211335","0.3929712460063898"
341.0,1,1498347502,"0.18542713567839195","0.814572864321608","0.4037940379403794"
351.0,1,1498347502,"0.18470790378006874","0.8152920962199313","0.413953488372093"
361.0,1,1498347502,"0.18357487922705315","0.8164251207729468","0.4271255060728745"
371.0,1,1498347502,"0.1811993517017828","0.8188006482982172","0.4203935599284436"
381.0,1,1498347502,"0.18355695118469884","0.8164430488153012","0.42923794712286156"
391.0,1,1498347502,"0.178","0.822","0.4241573033707865"
401.0,1,1498347502,"0.1765873015873016","0.8234126984126984","0.4207240948813982"
411.0,1,1498347502,"0.17554125219426564","0.8244587478057344","0.43222222222222223"
421.0,1,1498347502,"0.17085862966175194","0.8291413703382481","0.43451776649746193"
431.0,1,1498347502,"0.16749533871970168","0.8325046612802983","0.43413729128014844"
441.0,1,1498347502,"0.1663886572143453","0.8336113427856547","0.4402673350041771"
451.0,1,1498347502,"0.16370240480961923","0.8362975951903807","0.4506503442999235"
