"tick","run","random_seed","Generation Time G(D+T+R)","Generation Time G(D)","Generation Time G(R)","Generation Time G(T)"
0.0,1,871799474,"0.0","0.0","0.0","0.0"
1.0,1,871799474,"0.0","0.0","0.0","0.0"
11.0,1,871799474,"0.0","0.0","0.0","0.0"
21.0,1,871799474,"0.0","0.0","0.0","0.0"
31.0,1,871799474,"0.0","0.0","0.0","0.0"
41.0,1,871799474,"53.913215778729814","55.14305637598714","52.75049611786073","0.0"
51.0,1,871799474,"57.342497961988755","54.55163581629684","60.54136323177918","0.0"
61.0,1,871799474,"54.61513912167112","56.64363221449408","52.7764541617265","0.0"
71.0,1,871799474,"51.43458067573963","51.84706830055148","51.031667742967336","0.0"
81.0,1,871799474,"49.95394401610248","50.8320508279086","49.12165112781028","0.0"
91.0,1,871799474,"48.53163305873074","50.454903923270706","46.83130405028716","0.0"
101.0,1,871799474,"46.312088654570964","47.27659209299524","45.41349354705814","0.0"
111.0,1,871799474,"46.546892676201175","47.42392246541206","45.72650074675862","0.0"
121.0,1,871799474,"45.55880289374396","47.29679918604529","44.043572515607494","0.0"
131.0,1,871799474,"44.72306891940316","46.04515117939565","43.542171993201386","0.0"
141.0,1,871799474,"44.37617230882016","46.02268808441215","43.02868442630788","0.0"
151.0,1,871799474,"43.546862198009215","44.84448453281241","42.514712675130575","0.0"
161.0,1,871799474,"43.538295358502715","45.14777249894403","42.25053001522633","0.0"
171.0,1,871799474,"42.82314402202918","43.80290812099976","42.113232754219695","0.0"
181.0,1,871799474,"42.24260082570401","43.561110839633876","41.27710203247795","0.0"
191.0,1,871799474,"42.112600859623136","43.425084356987284","41.11991882973202","0.0"
