"tick","run","random_seed","Generation Time G(D+T+R)","Generation Time G(D)","Generation Time G(R)","Generation Time G(T)"
0.0,1,510102448,"0.0","17.092576359463063","0.0","0.0"
1.0,1,510102448,"0.0","0.0","110.82607803901954","0.0"
2.0,1,510102448,"0.0","0.0","0.0","0.0"
3.0,1,510102448,"0.0","0.0","0.0","0.0"
4.0,1,510102448,"0.0","0.0","0.0","0.0"
5.0,1,510102448,"0.0","0.0","0.0","0.0"
6.0,1,510102448,"0.0","0.0","0.0","0.0"
7.0,1,510102448,"0.0","0.0","0.0","0.0"
8.0,1,510102448,"0.0","0.0","0.0","0.0"
9.0,1,510102448,"0.0","0.0","0.0","0.0"
10.0,1,510102448,"0.0","0.0","0.0","0.0"
11.0,1,510102448,"0.0","0.0","0.0","0.0"
12.0,1,510102448,"0.0","0.0","0.0","0.0"
13.0,1,510102448,"0.0","0.0","0.0","0.0"
14.0,1,510102448,"0.0","0.0","0.0","0.0"
15.0,1,510102448,"0.0","0.0","0.0","0.0"
16.0,1,510102448,"0.0","0.0","0.0","0.0"
17.0,1,510102448,"115.66104321461293","65.0597888850687","0.0","0.0"
18.0,1,510102448,"114.43695839490667","68.88683529007274","118.7311341426089","0.0"
19.0,1,510102448,"113.41331717299008","72.7138816950768","116.98104566610189","0.0"
20.0,1,510102448,"103.73127586433594","76.54092810008083","105.75926133377827","0.0"
21.0,1,510102448,"101.07775237461728","80.36797450508487","102.49555632113155","0.0"
22.0,1,510102448,"103.42653791444343","84.19502091008891","104.70807306064292","0.0"
23.0,1,510102448,"95.01752165116226","88.02206731509295","95.41947932517584","0.0"
24.0,1,510102448,"87.09579756312161","91.849113720097","86.8604454210512","0.0"
25.0,1,510102448,"81.09206724971402","70.66280869811068","81.73774062826345","0.0"
26.0,1,510102448,"77.43503152671508","58.99994222616427","78.78191155949015","0.0"
27.0,1,510102448,"71.8060160261518","61.26917077332444","72.47788274972369","0.0"
28.0,1,510102448,"72.76402230801733","63.5383993204846","73.3361218624697","0.0"
29.0,1,510102448,"69.85236622854849","65.80762786764477","70.85657966998052","0.0"
30.0,1,510102448,"70.09728311701139","68.07685641480494","70.95229099540774","0.0"
31.0,1,510102448,"68.39212383373209","70.34608496196509","68.96165643809955","0.0"
32.0,1,510102448,"66.35940633816246","72.61531350912526","66.65753595177644","0.0"
33.0,1,510102448,"65.14234054438464","63.146265682566685","65.80406880568543","0.0"
34.0,1,510102448,"61.79616177678608","56.65874953016998","62.56931613570961","0.0"
35.0,1,510102448,"58.32518333988086","43.199647091486405","59.919688398803835","0.0"
36.0,1,510102448,"55.84495024534066","44.43392272267173","57.00738928437583","0.0"
37.0,1,510102448,"54.63880492792308","45.66819835385706","55.55280182219383","0.0"
38.0,1,510102448,"53.59777168297143","46.902473985042384","54.5939219835494","0.0"
39.0,1,510102448,"52.69527927865877","48.13674961622771","53.49203628660911","0.0"
40.0,1,510102448,"52.59825929632177","49.37102524741304","53.28455994542525","0.0"
41.0,1,510102448,"50.40289637421747","50.605300878598364","50.820625722750705","0.0"
42.0,1,510102448,"49.67001609034623","48.06048393054874","50.1575334094792","0.0"
43.0,1,510102448,"48.34759632089248","49.20478116699037","48.65883209502577","0.0"
44.0,1,510102448,"47.98953833787608","47.064156390530606","48.376765987302846","0.0"
45.0,1,510102448,"47.08868731571456","48.13379630849721","47.342351477739626","0.0"
46.0,1,510102448,"47.26709832193573","49.203436226463815","47.46888771420815","0.0"
47.0,1,510102448,"46.253094761343604","50.27307614443042","46.334392545334325","0.0"
48.0,1,510102448,"45.973216566327764","51.342716062397024","45.98604515059364","0.0"
49.0,1,510102448,"44.82902759487502","49.32559898469114","44.85213075953821","0.0"
50.0,1,510102448,"44.35035435685023","50.33224386192973","44.30178349326199","0.0"
51.0,1,510102448,"43.361909029850345","48.58952213512712","43.32279072517857","0.0"
52.0,1,510102448,"43.20238576144605","49.54225786326686","43.1137996568601","0.0"
53.0,1,510102448,"42.484518221011044","43.9429111887228","42.583815702808586","0.0"
54.0,1,510102448,"42.55461228588843","43.038276011965856","42.78175439710752","0.0"
55.0,1,510102448,"41.955680362650185","43.83528112329855","42.09563519447729","0.0"
56.0,1,510102448,"41.98868859185273","43.020977713042925","42.23805618258874","0.0"
57.0,1,510102448,"42.03163727670175","43.78920945791869","42.31023109051277","0.0"
58.0,1,510102448,"42.28591122114278","44.55744120279446","42.53453134430512","0.0"
59.0,1,510102448,"41.759717098782836","45.32567294767022","41.92709358282994","0.0"
60.0,1,510102448,"41.900371034292405","44.537085358434496","42.100073280776876","0.0"
61.0,1,510102448,"41.687048219597976","45.2793701144084","41.89293591143543","0.0"
62.0,1,510102448,"41.44522100281516","43.23337130997358","41.71272663194555","0.0"
63.0,1,510102448,"41.1801976055966","43.93068375045702","41.38563558604314","0.0"
64.0,1,510102448,"41.409309148559146","44.62799619094047","41.589230306626774","0.0"
65.0,1,510102448,"41.333140815428386","45.325308631423916","41.468821840865004","0.0"
66.0,1,510102448,"41.32103662616861","46.02262107190736","41.418708081999604","0.0"
67.0,1,510102448,"40.9025176353956","45.404597211610806","40.98929412685014","0.0"
68.0,1,510102448,"40.924153273751166","46.08227776700798","40.97787679011509","0.0"
69.0,1,510102448,"40.489859467269596","45.51465569469528","40.575281182229894","0.0"
70.0,1,510102448,"40.867986345255076","46.17428838592275","40.94228340717296","0.0"
71.0,1,510102448,"40.40407180960093","43.53931295101656","40.625866424587116","0.0"
72.0,1,510102448,"40.47328729105616","44.15254271089003","40.78463728214697","0.0"
73.0,1,510102448,"40.329476443746664","44.7657724707635","40.59076627347754","0.0"
74.0,1,510102448,"40.344455418959505","44.391256827970004","40.68309749906753","0.0"
75.0,1,510102448,"40.031694930948056","44.05587335801223","40.34263622307615","0.0"
76.0,1,510102448,"40.23414870711209","44.643285002785724","40.52310288866171","0.0"
77.0,1,510102448,"39.686903309100465","44.331354956151266","39.99695257320224","0.0"
78.0,1,510102448,"39.6625270019567","44.90708683869868","39.93409041285259","0.0"
79.0,1,510102448,"39.70524729385737","44.61656371421742","39.97573806750209","0.0"
80.0,1,510102448,"39.92227805861491","44.355959492985235","40.2048031951508","0.0"
81.0,1,510102448,"39.89063923500194","44.12249542577989","40.31354565945013","0.0"
82.0,1,510102448,"40.002307843241134","43.91372384669721","40.42538758363608","0.0"
83.0,1,510102448,"39.57853411291203","43.72748028894517","40.00827916074135","0.0"
84.0,1,510102448,"39.438591854316336","42.27908484402098","39.89640092092692","0.0"
85.0,1,510102448,"39.33932191840022","41.60531939748071","39.79989381627107","0.0"
86.0,1,510102448,"39.36636265235804","42.094793743333426","39.79106624612074","0.0"
87.0,1,510102448,"39.24748246381848","42.022746514799344","39.6954872007614","0.0"
88.0,1,510102448,"39.354181003609675","41.96278315585854","39.8212405699794","0.0"
89.0,1,510102448,"39.298462609465","41.41042134085281","39.79011082816254","0.0"
90.0,1,510102448,"39.33329198833181","41.387226612050654","39.83418059930992","0.0"
91.0,1,510102448,"39.2191705766247","41.847084685517885","39.713104958373904","0.0"
92.0,1,510102448,"39.28752752874169","42.30694275898511","39.75070514043795","0.0"
93.0,1,510102448,"39.159760324979196","42.76680083245234","39.633973606366006","0.0"
94.0,1,510102448,"39.257770727673815","42.7368042811608","39.763600699817445","0.0"
95.0,1,510102448,"39.05068651018673","42.7156622472329","39.51762884130044","0.0"
96.0,1,510102448,"39.10997700258195","43.16530079720377","39.56533076888617","0.0"
97.0,1,510102448,"39.20570310326899","43.61493934717465","39.65316306159642","0.0"
98.0,1,510102448,"39.177904747900804","42.69985924983355","39.64001098769556","0.0"
99.0,1,510102448,"38.94774927221752","42.708849407099414","39.40245696824841","0.0"
100.0,1,510102448,"39.04426911928507","42.32247038009155","39.52264061234194","0.0"
101.0,1,510102448,"38.98637941845733","42.35347892158846","39.549693930775256","0.0"
102.0,1,510102448,"38.952315321962374","42.3897195064977","39.49039889103407","0.0"
103.0,1,510102448,"38.79458932013159","42.43089708933457","39.294903721447","0.0"
104.0,1,510102448,"38.57877756975384","41.777982429624615","39.09195531044213","0.0"
105.0,1,510102448,"38.46907348720402","42.17969379914024","38.989679057268795","0.0"
106.0,1,510102448,"38.501093011218146","42.581405168655856","39.003691827724424","0.0"
107.0,1,510102448,"38.34492540395065","41.66830344133823","38.884916906802935","0.0"
108.0,1,510102448,"38.42368288074876","42.05772683798625","38.9622472789305","0.0"
109.0,1,510102448,"38.397587517894635","41.83271263017461","38.958532221954584","0.0"
110.0,1,510102448,"38.34804066244829","41.629352286124","38.89181134068294","0.0"
111.0,1,510102448,"38.2474812800884","41.723144610183425","38.768430268950354","0.0"
112.0,1,510102448,"38.26564216163781","41.81917098714302","38.78786524526816","0.0"
113.0,1,510102448,"38.22277802967493","41.917325628674845","38.822951718598276","0.0"
114.0,1,510102448,"38.2066288950558","42.288275412999404","38.81087431504807","0.0"
115.0,1,510102448,"38.08231709841795","42.3860834821903","38.666512232555014","0.0"
116.0,1,510102448,"38.09102963191049","42.48588423131873","38.67084560412537","0.0"
117.0,1,510102448,"38.13024046957496","42.32931573080815","38.7370898232782","0.0"
118.0,1,510102448,"38.26392190376772","42.43672401943068","38.86172074533162","0.0"
119.0,1,510102448,"38.20424436884555","42.30082386656846","38.80582529627639","0.0"
120.0,1,510102448,"38.215892232996275","42.656292974690885","38.79369281983501","0.0"
121.0,1,510102448,"38.19464980719295","42.29738731367665","38.82195803888377","0.0"
122.0,1,510102448,"38.22447566510154","42.41721542964424","38.846147686394076","0.0"
123.0,1,510102448,"38.20071964767437","42.53819717658326","38.80976213611497","0.0"
124.0,1,510102448,"38.26100298349492","42.660283520896144","38.85982497727869","0.0"
125.0,1,510102448,"38.13244336971175","41.94353655160811","38.78194646149776","0.0"
126.0,1,510102448,"38.195093827572876","42.07773875480835","38.8408508778951","0.0"
127.0,1,510102448,"38.13738615321719","41.82575029370437","38.77811817315394","0.0"
128.0,1,510102448,"38.08206314745337","41.59675076897007","38.724268866884465","0.0"
129.0,1,510102448,"38.05931642378268","41.563236495224025","38.70606783254692","0.0"
130.0,1,510102448,"38.11983146775734","41.709541694668516","38.76771252894553","0.0"
131.0,1,510102448,"38.06724647302003","42.030384323089045","38.707431492296315","0.0"
132.0,1,510102448,"38.10111653062556","42.17572032786576","38.74442222013794","0.0"
133.0,1,510102448,"38.01838453260325","41.81732655208158","38.74133614987973","0.0"
134.0,1,510102448,"38.00875822061508","41.96800737959004","38.72538339941001","0.0"
135.0,1,510102448,"37.91261235001438","41.64744882378429","38.61592194315048","0.0"
136.0,1,510102448,"37.95090696569442","41.95594844470121","38.64231195042992","0.0"
137.0,1,510102448,"37.93412308387171","42.10993936241078","38.60600244738925","0.0"
138.0,1,510102448,"37.91845235753869","42.11318050234389","38.5819422270226","0.0"
139.0,1,510102448,"37.830869679254846","41.97595298806977","38.491269982460864","0.0"
140.0,1,510102448,"37.895034770377954","41.99172943186352","38.557048526164","0.0"
141.0,1,510102448,"37.84805383461043","41.874651120043374","38.600000291284346","0.0"
142.0,1,510102448,"37.833690141096994","41.769094196493974","38.60202169561734","0.0"
143.0,1,510102448,"37.686576563660985","41.300599491279456","38.467560834386155","0.0"
144.0,1,510102448,"37.702179372645126","41.34665488110978","38.486563610762296","0.0"
145.0,1,510102448,"37.645156091572815","41.63378442889527","38.40744808533718","0.0"
146.0,1,510102448,"37.65904168038604","41.33232587619173","38.42751654257102","0.0"
147.0,1,510102448,"37.647878225795665","41.16700467784306","38.41348973817791","0.0"
148.0,1,510102448,"37.6773002999276","41.22931695119036","38.445759954366586","0.0"
149.0,1,510102448,"37.56202627410121","41.18857361968708","38.34553102683244","0.0"
150.0,1,510102448,"37.61753894548185","41.46500699968498","38.39831108243944","0.0"
151.0,1,510102448,"37.59022298063119","40.93048651305308","38.37368396206081","0.0"
152.0,1,510102448,"37.57199340579758","40.726397283409135","38.340118773698165","0.0"
153.0,1,510102448,"37.583852308213665","40.71920406632812","38.42778327355522","0.0"
154.0,1,510102448,"37.599602819270636","40.805408932532664","38.445510201879735","0.0"
155.0,1,510102448,"37.55727498001331","40.71893386737476","38.41163825976293","0.0"
156.0,1,510102448,"37.567235912487995","40.72536836880916","38.42749040876437","0.0"
