"tick","run","random_seed","Gamma end-point (D+R+T growth rate)"
0.0,1,1008711,"0.0"
1.0,1,1008711,"3.570771221154955E-8"
2.0,1,1008711,"1.777567408371438E-8"
3.0,1,1008711,"1.1786161244819725E-8"
4.0,1,1008711,"8.801555022653648E-9"
5.0,1,1008711,"6.9962243102156894E-9"
6.0,1,1008711,"5.805533986427116E-9"
7.0,1,1008711,"4.944923851918325E-9"
8.0,1,1008711,"4.3177969788236486E-9"
9.0,1,1008711,"3.834053559376871E-9"
10.0,1,1008711,"3.443499558121462E-9"
11.0,1,1008711,"3.120773785700458E-9"
12.0,1,1008711,"2.736465947854432E-9"
13.0,1,1008711,"2.5081502914363434E-9"
14.0,1,1008711,"2.3196821005754346E-9"
15.0,1,1008711,"2.1564358785516906E-9"
16.0,1,1008711,"2.017659196715689E-9"
17.0,1,1008711,"1.821203747811198E-9"
18.0,1,1008711,"1.71332659188527E-9"
19.0,1,1008711,"1.6200029894660879E-9"
20.0,1,1008711,"1.480811253531857E-9"
21.0,1,1008711,"1.3546833439796295E-9"
22.0,1,1008711,"1.2845623437652232E-9"
23.0,1,1008711,"1.2150309274870287E-9"
24.0,1,1008711,"1.1527228123368204E-9"
25.0,1,1008711,"1.0588132089379109E-9"
26.0,1,1008711,"9.770237113890488E-10"
27.0,1,1008711,"9.262843675181375E-10"
28.0,1,1008711,"8.886514030115237E-10"
29.0,1,1008711,"1.050731292798328E-9"
30.0,1,1008711,"1.0098311089040608E-9"
31.0,1,1008711,"9.669222453739855E-10"
32.0,1,1008711,"8.97455389650705E-10"
33.0,1,1008711,"8.600823143150259E-10"
34.0,1,1008711,"8.27731763162233E-10"
35.0,1,1008711,"7.704348093225164E-10"
36.0,1,1008711,"9.139685831840234E-10"
37.0,1,1008711,"8.310933631633465E-10"
38.0,1,1008711,"8.779818641946421E-10"
39.0,1,1008711,"8.04750666206895E-10"
40.0,1,1008711,"8.971520561426754E-10"
41.0,1,1008711,"9.501473224752837E-10"
42.0,1,1008711,"1.0223423534117364E-9"
43.0,1,1008711,"9.641622577778606E-10"
44.0,1,1008711,"9.138191732269611E-10"
45.0,1,1008711,"8.47410789232803E-10"
46.0,1,1008711,"8.215582353232937E-10"
47.0,1,1008711,"9.51909573364066E-10"
48.0,1,1008711,"9.23479922661846E-10"
49.0,1,1008711,"8.769053644844057E-10"
50.0,1,1008711,"8.54073848608496E-10"
51.0,1,1008711,"7.956145721554841E-10"
52.0,1,1008711,"8.353711248092772E-10"
53.0,1,1008711,"7.783711959152314E-10"
54.0,1,1008711,"7.411023035110934E-10"
55.0,1,1008711,"7.133827032969142E-10"
56.0,1,1008711,"6.789841954287696E-10"
57.0,1,1008711,"6.590488480033316E-10"
58.0,1,1008711,"6.436792443616208E-10"
59.0,1,1008711,"5.93189374557411E-10"
60.0,1,1008711,"6.225541582234558E-10"
61.0,1,1008711,"5.858394536310959E-10"
62.0,1,1008711,"6.787461514191866E-10"
63.0,1,1008711,"6.589171483805218E-10"
64.0,1,1008711,"6.084679346428604E-10"
65.0,1,1008711,"6.051918047782297E-10"
66.0,1,1008711,"6.231720820056495E-10"
67.0,1,1008711,"5.837064470239036E-10"
68.0,1,1008711,"5.903429368304555E-10"
