"tick","run","random_seed","Gamma end-point (D+R+T growth rate)"
0.0,1,383639,"0.0"
1.0,1,383639,"1.2346087802869203E-8"
2.0,1,383639,"5.926366494370977E-9"
3.0,1,383639,"7.723750728313248E-9"
4.0,1,383639,"5.780255604941544E-9"
5.0,1,383639,"4.434412530116733E-9"
6.0,1,383639,"3.6834971543221675E-9"
7.0,1,383639,"3.1339288529739527E-9"
8.0,1,383639,"2.641656965012052E-9"
9.0,1,383639,"2.3358949015175888E-9"
10.0,1,383639,"2.10011996263835E-9"
11.0,1,383639,"1.8319775225270188E-9"
12.0,1,383639,"2.4734540578339795E-9"
13.0,1,383639,"2.2785296366558242E-9"
14.0,1,383639,"2.044061631207181E-9"
15.0,1,383639,"1.890556753087628E-9"
16.0,1,383639,"1.7107024134803472E-9"
17.0,1,383639,"1.5509533099321898E-9"
18.0,1,383639,"1.4576409345252544E-9"
19.0,1,383639,"1.3676408377723847E-9"
20.0,1,383639,"1.6520532763106136E-9"
21.0,1,383639,"1.522114618531653E-9"
22.0,1,383639,"1.7405488758971597E-9"
23.0,1,383639,"1.6017113178094271E-9"
24.0,1,383639,"1.527932138937039E-9"
25.0,1,383639,"1.452230434200066E-9"
26.0,1,383639,"1.3521967599907037E-9"
27.0,1,383639,"1.2850056268126052E-9"
28.0,1,383639,"1.2294858174124693E-9"
29.0,1,383639,"1.5614307959628618E-9"
30.0,1,383639,"1.4685192222806288E-9"
31.0,1,383639,"1.5836578612742189E-9"
32.0,1,383639,"1.650657774090993E-9"
33.0,1,383639,"1.6924793411194226E-9"
34.0,1,383639,"1.5586189919556342E-9"
35.0,1,383639,"1.4221356367878706E-9"
36.0,1,383639,"1.3421624661282538E-9"
37.0,1,383639,"1.4027457107121341E-9"
38.0,1,383639,"1.2802945318076221E-9"
39.0,1,383639,"1.2267482813972726E-9"
40.0,1,383639,"1.1661647456992271E-9"
41.0,1,383639,"1.0583810949953827E-9"
42.0,1,383639,"1.0210806723064712E-9"
43.0,1,383639,"1.076365493438547E-9"
44.0,1,383639,"1.0676271381643903E-9"
45.0,1,383639,"1.0837550750947377E-9"
46.0,1,383639,"1.0484500167367588E-9"
47.0,1,383639,"9.779508042409661E-10"
48.0,1,383639,"9.35578753464021E-10"
49.0,1,383639,"8.885324083076943E-10"
50.0,1,383639,"8.173468606063153E-10"
51.0,1,383639,"8.358193000582827E-10"
52.0,1,383639,"9.46401259652675E-10"
53.0,1,383639,"8.555527189837221E-10"
54.0,1,383639,"8.243504576177487E-10"
55.0,1,383639,"7.866341709182732E-10"
56.0,1,383639,"7.912240641471391E-10"
57.0,1,383639,"8.029795553387772E-10"
58.0,1,383639,"8.162587844391956E-10"
59.0,1,383639,"8.387827204086049E-10"
60.0,1,383639,"8.913955597377041E-10"
61.0,1,383639,"8.499412009670352E-10"
62.0,1,383639,"8.27278367532482E-10"
63.0,1,383639,"8.679371542730192E-10"
64.0,1,383639,"8.401771268045701E-10"
65.0,1,383639,"9.107600033831826E-10"
66.0,1,383639,"8.750001448502622E-10"
67.0,1,383639,"8.274350533907189E-10"
68.0,1,383639,"7.928195785437352E-10"
69.0,1,383639,"7.617248730801294E-10"
70.0,1,383639,"7.632972531122429E-10"
71.0,1,383639,"7.190831413008569E-10"
72.0,1,383639,"7.5621347096974E-10"
73.0,1,383639,"7.250706878944584E-10"
74.0,1,383639,"7.088657792022057E-10"
75.0,1,383639,"7.125138494115299E-10"
76.0,1,383639,"7.075254533905824E-10"
77.0,1,383639,"6.624442714944848E-10"
78.0,1,383639,"6.306607632220184E-10"
79.0,1,383639,"6.343140976134044E-10"
80.0,1,383639,"6.171391727296127E-10"
81.0,1,383639,"6.061323994390796E-10"
82.0,1,383639,"5.82829517808541E-10"
83.0,1,383639,"6.078821091354317E-10"
84.0,1,383639,"6.05120411925337E-10"
85.0,1,383639,"5.929547499191337E-10"
86.0,1,383639,"5.938669432808613E-10"
87.0,1,383639,"5.741308770394263E-10"
88.0,1,383639,"5.577549728742676E-10"
89.0,1,383639,"5.358580110240848E-10"
90.0,1,383639,"5.267949235619915E-10"
91.0,1,383639,"5.00878756568413E-10"
92.0,1,383639,"4.83789554993136E-10"
93.0,1,383639,"5.105295593863061E-10"
94.0,1,383639,"4.94597803123465E-10"
95.0,1,383639,"4.862771359756016E-10"
96.0,1,383639,"4.743248972149552E-10"
97.0,1,383639,"4.645660676427549E-10"
98.0,1,383639,"4.536832594250383E-10"
99.0,1,383639,"4.58048703315259E-10"
100.0,1,383639,"4.5392337569941534E-10"
101.0,1,383639,"4.46698932230692E-10"
102.0,1,383639,"4.645021152966509E-10"
103.0,1,383639,"4.5655332934208917E-10"
104.0,1,383639,"4.484622094253311E-10"
105.0,1,383639,"4.3524571736198375E-10"
