"tick","Population (D+R+T)","Population (R)","Population (D)","Population (T)"
0.0,"50000.0","47500.0","2500.0","0.0"
1.0,"50100.0","47100.0","2500.0","500.0"
2.0,"50200.0","47200.0","2500.0","500.0"
3.0,"50400.0","47400.0","2500.0","500.0"
4.0,"50500.0","47500.0","2500.0","500.0"
5.0,"50700.0","47700.0","2500.0","500.0"
6.0,"50800.0","47800.0","2500.0","500.0"
7.0,"51200.0","48200.0","2500.0","500.0"
8.0,"51400.0","48400.0","2500.0","500.0"
9.0,"51500.0","48500.0","2500.0","500.0"
10.0,"51800.0","48800.0","2500.0","500.0"
11.0,"52200.0","49200.0","2500.0","500.0"
12.0,"52400.0","49400.0","2500.0","500.0"
13.0,"52600.0","49600.0","2500.0","500.0"
14.0,"53100.0","50100.0","2500.0","500.0"
15.0,"53800.0","50800.0","2500.0","500.0"
16.0,"54200.0","51200.0","2500.0","500.0"
17.0,"54500.0","51500.0","2500.0","500.0"
18.0,"55000.0","52000.0","2500.0","500.0"
19.0,"55800.0","52700.0","2600.0","500.0"
20.0,"56300.0","53200.0","2600.0","500.0"
21.0,"56800.0","53700.0","2600.0","500.0"
22.0,"57500.0","54300.0","2700.0","500.0"
23.0,"58900.0","55700.0","2700.0","500.0"
24.0,"59500.0","56300.0","2700.0","500.0"
25.0,"60700.0","57500.0","2700.0","500.0"
26.0,"61800.0","58600.0","2700.0","500.0"
27.0,"63500.0","60300.0","2700.0","500.0"
28.0,"64100.0","60900.0","2700.0","500.0"
29.0,"66000.0","62600.0","2700.0","700.0"
30.0,"67100.0","63600.0","2700.0","800.0"
31.0,"68600.0","65100.0","2700.0","800.0"
32.0,"70300.0","66700.0","2700.0","900.0"
33.0,"71700.0","67800.0","2800.0","1100.0"
34.0,"73200.0","69200.0","2900.0","1100.0"
35.0,"74700.0","70600.0","3000.0","1100.0"
36.0,"76600.0","72200.0","3300.0","1100.0"
37.0,"78500.0","74000.0","3400.0","1100.0"
38.0,"80300.0","75800.0","3400.0","1100.0"
39.0,"83000.0","78100.0","3800.0","1100.0"
40.0,"84400.0","79500.0","3800.0","1100.0"
41.0,"87300.0","82200.0","3900.0","1200.0"
42.0,"88900.0","83800.0","3900.0","1200.0"
43.0,"91600.0","86100.0","4100.0","1400.0"
44.0,"94300.0","88500.0","4200.0","1600.0"
45.0,"96200.0","90200.0","4300.0","1700.0"
46.0,"98200.0","92000.0","4500.0","1700.0"
47.0,"101700.0","95200.0","4600.0","1900.0"
48.0,"103700.0","97200.0","4600.0","1900.0"
49.0,"105400.0","98800.0","4700.0","1900.0"
50.0,"107200.0","100500.0","4800.0","1900.0"
51.0,"110600.0","103700.0","5000.0","1900.0"
52.0,"112600.0","105600.0","5000.0","2000.0"
53.0,"116000.0","108900.0","5100.0","2000.0"
54.0,"117200.0","110000.0","5100.0","2100.0"
55.0,"120600.0","113400.0","5100.0","2100.0"
56.0,"122700.0","115400.0","5200.0","2100.0"
57.0,"123700.0","116300.0","5300.0","2100.0"
58.0,"125100.0","117600.0","5400.0","2100.0"
59.0,"128700.0","121000.0","5500.0","2200.0"
60.0,"130000.0","122300.0","5500.0","2200.0"
61.0,"132900.0","124700.0","5800.0","2400.0"
62.0,"135700.0","127300.0","5800.0","2600.0"
63.0,"139300.0","130800.0","5900.0","2600.0"
64.0,"141900.0","133400.0","5900.0","2600.0"
65.0,"146300.0","137600.0","6000.0","2700.0"
66.0,"148700.0","139800.0","6100.0","2800.0"
67.0,"151700.0","142500.0","6300.0","2900.0"
68.0,"154300.0","144900.0","6400.0","3000.0"
69.0,"157700.0","147800.0","6600.0","3300.0"
70.0,"159000.0","149000.0","6600.0","3400.0"
71.0,"163000.0","152600.0","6900.0","3500.0"
72.0,"165900.0","154800.0","7000.0","4100.0"
73.0,"171200.0","159700.0","7400.0","4100.0"
74.0,"175000.0","163500.0","7400.0","4100.0"
75.0,"179100.0","167500.0","7500.0","4100.0"
76.0,"182100.0","170200.0","7800.0","4100.0"
77.0,"187000.0","175000.0","7900.0","4100.0"
78.0,"189200.0","177200.0","7900.0","4100.0"
79.0,"194300.0","181700.0","8300.0","4300.0"
80.0,"197700.0","184600.0","8700.0","4400.0"
81.0,"201800.0","188500.0","8900.0","4400.0"
82.0,"204600.0","190600.0","9000.0","5000.0"
83.0,"211300.0","197200.0","9000.0","5100.0"
84.0,"215200.0","201000.0","9000.0","5200.0"
85.0,"219600.0","204800.0","9400.0","5400.0"
86.0,"222800.0","207900.0","9500.0","5400.0"
87.0,"228400.0","213200.0","9700.0","5500.0"
88.0,"231600.0","216300.0","9700.0","5600.0"
89.0,"238300.0","222200.0","9800.0","6300.0"
90.0,"241600.0","225400.0","9800.0","6400.0"
91.0,"247500.0","230800.0","10100.0","6600.0"
92.0,"253000.0","235700.0","10400.0","6900.0"
93.0,"258100.0","240500.0","10600.0","7000.0"
94.0,"261600.0","243800.0","10600.0","7200.0"
95.0,"268900.0","250700.0","10800.0","7400.0"
96.0,"272200.0","253600.0","11000.0","7600.0"
97.0,"277600.0","258700.0","11200.0","7700.0"
98.0,"283500.0","264500.0","11300.0","7700.0"
99.0,"288900.0","269700.0","11500.0","7700.0"
100.0,"293300.0","273500.0","11800.0","8000.0"
101.0,"300400.0","279500.0","12300.0","8600.0"
102.0,"305500.0","284400.0","12500.0","8600.0"
103.0,"313600.0","292200.0","12700.0","8700.0"
104.0,"321300.0","299600.0","13000.0","8700.0"
105.0,"325400.0","303600.0","13100.0","8700.0"
106.0,"329700.0","307600.0","13300.0","8800.0"
107.0,"339100.0","316500.0","13500.0","9100.0"
108.0,"344000.0","320800.0","13600.0","9600.0"
109.0,"350600.0","326500.0","14100.0","10000.0"
110.0,"356200.0","331500.0","14600.0","10100.0"
111.0,"365600.0","339100.0","14800.0","11700.0"
112.0,"372900.0","346200.0","15000.0","11700.0"
113.0,"382500.0","355100.0","15200.0","12200.0"
114.0,"389200.0","360900.0","15700.0","12600.0"
115.0,"397000.0","368300.0","15900.0","12800.0"
116.0,"405300.0","376200.0","16100.0","13000.0"
117.0,"412300.0","382600.0","16600.0","13100.0"
118.0,"418800.0","388900.0","16800.0","13100.0"
119.0,"432000.0","400400.0","17600.0","14000.0"
120.0,"437800.0","406000.0","17700.0","14100.0"
121.0,"448100.0","415400.0","18500.0","14200.0"
122.0,"457600.0","422900.0","18700.0","16000.0"
123.0,"467300.0","431500.0","19200.0","16600.0"
124.0,"474400.0","437900.0","19400.0","17100.0"
125.0,"486100.0","449000.0","19600.0","17500.0"
126.0,"494700.0","456700.0","20000.0","18000.0"
127.0,"505000.0","466100.0","20300.0","18600.0"
128.0,"512500.0","472500.0","20700.0","19300.0"
129.0,"521500.0","481100.0","21000.0","19400.0"
130.0,"529500.0","488400.0","21200.0","19900.0"
131.0,"545100.0","502600.0","22100.0","20400.0"
132.0,"554700.0","509200.0","22600.0","22900.0"
133.0,"564900.0","518300.0","22900.0","23700.0"
134.0,"577600.0","530000.0","23000.0","24600.0"
135.0,"589300.0","540200.0","23400.0","25700.0"
136.0,"599700.0","549600.0","23700.0","26400.0"
137.0,"612600.0","561500.0","24000.0","27100.0"
138.0,"622500.0","570500.0","24600.0","27400.0"
139.0,"639000.0","585400.0","25100.0","28500.0"
140.0,"650600.0","596000.0","25700.0","28900.0"
141.0,"663100.0","605100.0","26200.0","31800.0"
142.0,"676300.0","617200.0","26800.0","32300.0"
143.0,"696900.0","634900.0","28100.0","33900.0"
144.0,"710100.0","647400.0","28500.0","34200.0"
145.0,"721900.0","658300.0","28800.0","34800.0"
146.0,"734800.0","670300.0","29100.0","35400.0"
147.0,"749400.0","683300.0","29700.0","36400.0"
148.0,"760200.0","692800.0","30300.0","37100.0"
149.0,"779000.0","709800.0","31000.0","38200.0"
