"tick","Population (D+R+T)","Population (R)","Population (D)","Population (T)"
0.0,"50000.0","47500.0","2500.0","0.0"
1.0,"50400.0","47800.0","2500.0","100.0"
2.0,"50800.0","48100.0","2600.0","100.0"
3.0,"51300.0","48500.0","2600.0","200.0"
4.0,"51500.0","48700.0","2600.0","200.0"
5.0,"52200.0","49300.0","2700.0","200.0"
6.0,"52500.0","49600.0","2700.0","200.0"
7.0,"53200.0","50300.0","2700.0","200.0"
8.0,"53600.0","50600.0","2800.0","200.0"
9.0,"54100.0","51100.0","2800.0","200.0"
10.0,"54200.0","51200.0","2800.0","200.0"
11.0,"55100.0","52000.0","2900.0","200.0"
12.0,"55400.0","52200.0","2900.0","300.0"
13.0,"55600.0","52400.0","2900.0","300.0"
14.0,"56000.0","52700.0","3000.0","300.0"
15.0,"56900.0","53600.0","3000.0","300.0"
16.0,"57500.0","54100.0","3100.0","300.0"
17.0,"58400.0","54900.0","3200.0","300.0"
18.0,"58900.0","55400.0","3200.0","300.0"
19.0,"59900.0","56400.0","3200.0","300.0"
20.0,"60600.0","56900.0","3300.0","400.0"
21.0,"61300.0","57500.0","3400.0","400.0"
22.0,"61800.0","57800.0","3500.0","500.0"
23.0,"63300.0","59200.0","3600.0","500.0"
24.0,"63800.0","59700.0","3600.0","500.0"
25.0,"64900.0","60800.0","3600.0","500.0"
26.0,"65800.0","61600.0","3700.0","500.0"
27.0,"67300.0","63100.0","3700.0","500.0"
28.0,"68200.0","64000.0","3700.0","500.0"
29.0,"70200.0","65700.0","3800.0","700.0"
30.0,"70800.0","66200.0","3900.0","700.0"
31.0,"72600.0","67900.0","3900.0","800.0"
32.0,"74200.0","69300.0","4000.0","900.0"
33.0,"76600.0","71500.0","4100.0","1000.0"
34.0,"78200.0","72900.0","4300.0","1000.0"
35.0,"81400.0","75900.0","4500.0","1000.0"
36.0,"82900.0","77300.0","4600.0","1000.0"
37.0,"85000.0","79300.0","4600.0","1100.0"
38.0,"86600.0","80600.0","4900.0","1100.0"
39.0,"89000.0","83000.0","4900.0","1100.0"
40.0,"90200.0","84100.0","5000.0","1100.0"
41.0,"93600.0","87200.0","5300.0","1100.0"
42.0,"95400.0","89000.0","5300.0","1100.0"
43.0,"97700.0","90700.0","5700.0","1300.0"
44.0,"99200.0","91800.0","6000.0","1400.0"
45.0,"101000.0","93400.0","6100.0","1500.0"
46.0,"102800.0","95200.0","6100.0","1500.0"
47.0,"106300.0","98500.0","6300.0","1500.0"
48.0,"108000.0","100100.0","6400.0","1500.0"
49.0,"111100.0","103100.0","6500.0","1500.0"
50.0,"113400.0","105000.0","6900.0","1500.0"
51.0,"116400.0","107900.0","6900.0","1600.0"
52.0,"118500.0","109700.0","6900.0","1900.0"
53.0,"123000.0","113700.0","7400.0","1900.0"
54.0,"124400.0","115000.0","7500.0","1900.0"
55.0,"127800.0","118300.0","7600.0","1900.0"
56.0,"130100.0","120400.0","7700.0","2000.0"
57.0,"132400.0","122600.0","7700.0","2100.0"
58.0,"134000.0","124100.0","7700.0","2200.0"
59.0,"138700.0","128500.0","7800.0","2400.0"
60.0,"139900.0","129200.0","8000.0","2700.0"
61.0,"142300.0","131400.0","8200.0","2700.0"
62.0,"145300.0","134000.0","8500.0","2800.0"
63.0,"148800.0","137100.0","8600.0","3100.0"
64.0,"150500.0","138700.0","8700.0","3100.0"
65.0,"154000.0","141500.0","8900.0","3600.0"
66.0,"155700.0","143000.0","9100.0","3600.0"
67.0,"159300.0","146300.0","9400.0","3600.0"
68.0,"162000.0","148800.0","9600.0","3600.0"
69.0,"164200.0","150800.0","9800.0","3600.0"
70.0,"166000.0","152500.0","9800.0","3700.0"
71.0,"171400.0","157600.0","10100.0","3700.0"
72.0,"173700.0","159300.0","10300.0","4100.0"
73.0,"177100.0","162500.0","10500.0","4100.0"
74.0,"179100.0","164100.0","10800.0","4200.0"
75.0,"182900.0","167600.0","10900.0","4400.0"
76.0,"184500.0","169000.0","11000.0","4500.0"
77.0,"189400.0","173400.0","11500.0","4500.0"
78.0,"192000.0","175600.0","11900.0","4500.0"
79.0,"197400.0","180800.0","11900.0","4700.0"
80.0,"201300.0","184300.0","12200.0","4800.0"
81.0,"206300.0","189100.0","12300.0","4900.0"
82.0,"208700.0","191200.0","12600.0","4900.0"
83.0,"216100.0","197300.0","13200.0","5600.0"
84.0,"219500.0","200300.0","13400.0","5800.0"
85.0,"225000.0","205600.0","13500.0","5900.0"
86.0,"229700.0","209400.0","14000.0","6300.0"
87.0,"234300.0","213500.0","14400.0","6400.0"
88.0,"236600.0","215600.0","14600.0","6400.0"
89.0,"243000.0","221100.0","15300.0","6600.0"
90.0,"246000.0","223800.0","15500.0","6700.0"
91.0,"251200.0","228500.0","16000.0","6700.0"
92.0,"255700.0","232400.0","16500.0","6800.0"
93.0,"260900.0","236800.0","16600.0","7500.0"
94.0,"264400.0","239700.0","17100.0","7600.0"
95.0,"271700.0","246600.0","17300.0","7800.0"
96.0,"276300.0","250800.0","17600.0","7900.0"
97.0,"281900.0","255800.0","18000.0","8100.0"
98.0,"287100.0","260300.0","18500.0","8300.0"
99.0,"295200.0","268000.0","18500.0","8700.0"
100.0,"299300.0","271700.0","18700.0","8900.0"
101.0,"307300.0","278700.0","19300.0","9300.0"
102.0,"311200.0","281200.0","19800.0","10200.0"
103.0,"319800.0","289500.0","19900.0","10400.0"
104.0,"327500.0","296200.0","20500.0","10800.0"
105.0,"333400.0","301900.0","20700.0","10800.0"
106.0,"338300.0","306000.0","21400.0","10900.0"
107.0,"347600.0","315000.0","21700.0","10900.0"
108.0,"352200.0","318800.0","21900.0","11500.0"
109.0,"358800.0","324800.0","22200.0","11800.0"
110.0,"365300.0","330500.0","22700.0","12100.0"
111.0,"374800.0","339100.0","23500.0","12200.0"
112.0,"380900.0","344600.0","24000.0","12300.0"
113.0,"391200.0","352500.0","25000.0","13700.0"
114.0,"397100.0","357900.0","25400.0","13800.0"
115.0,"404400.0","364400.0","25700.0","14300.0"
116.0,"412100.0","371100.0","26600.0","14400.0"
117.0,"420200.0","378000.0","27000.0","15200.0"
118.0,"426800.0","383900.0","27500.0","15400.0"
119.0,"438400.0","394100.0","28100.0","16200.0"
120.0,"444500.0","399100.0","28800.0","16600.0"
121.0,"452000.0","406000.0","29300.0","16700.0"
122.0,"460100.0","411900.0","29700.0","18500.0"
123.0,"469700.0","419900.0","30500.0","19300.0"
124.0,"475900.0","425300.0","30800.0","19800.0"
125.0,"489800.0","437500.0","31600.0","20700.0"
126.0,"495400.0","442500.0","32100.0","20800.0"
127.0,"505400.0","451200.0","32600.0","21600.0"
128.0,"514400.0","459100.0","33300.0","22000.0"
129.0,"524800.0","468600.0","33800.0","22400.0"
130.0,"532600.0","475500.0","34100.0","23000.0"
131.0,"544300.0","486100.0","34900.0","23300.0"
132.0,"553900.0","492200.0","36200.0","25500.0"
133.0,"566000.0","502800.0","37600.0","25600.0"
134.0,"578300.0","513300.0","38400.0","26600.0"
135.0,"591400.0","524700.0","39700.0","27000.0"
136.0,"599800.0","532300.0","40300.0","27200.0"
137.0,"613800.0","543600.0","41500.0","28700.0"
138.0,"622700.0","551100.0","42300.0","29300.0"
139.0,"637900.0","564900.0","43400.0","29600.0"
140.0,"649900.0","574700.0","44200.0","31000.0"
141.0,"662500.0","585600.0","45300.0","31600.0"
142.0,"673500.0","595200.0","46400.0","31900.0"
143.0,"691200.0","608600.0","47400.0","35200.0"
144.0,"701800.0","618000.0","48100.0","35700.0"
145.0,"715100.0","628800.0","49100.0","37200.0"
146.0,"728700.0","640600.0","50300.0","37800.0"
147.0,"743200.0","653800.0","51100.0","38300.0"
148.0,"754500.0","664100.0","51800.0","38600.0"
149.0,"773300.0","680900.0","52800.0","39600.0"
150.0,"784100.0","690400.0","53400.0","40300.0"
151.0,"800000.0","704400.0","54000.0","41600.0"
152.0,"816400.0","718300.0","56000.0","42100.0"
153.0,"831900.0","729200.0","57200.0","45500.0"
154.0,"844800.0","739700.0","58600.0","46500.0"
155.0,"865000.0","756700.0","59900.0","48400.0"
156.0,"879300.0","768300.0","61500.0","49500.0"
157.0,"896200.0","783000.0","62100.0","51100.0"
158.0,"912400.0","795800.0","63600.0","53000.0"
159.0,"931100.0","812800.0","64400.0","53900.0"
160.0,"945900.0","824500.0","65400.0","56000.0"
161.0,"969500.0","845200.0","67400.0","56900.0"
162.0,"986700.0","855900.0","68500.0","62300.0"
163.0,"1009200.0","873800.0","70500.0","64900.0"
164.0,"1028200.0","889500.0","72200.0","66500.0"
165.0,"1049100.0","907400.0","73500.0","68200.0"
166.0,"1065400.0","922100.0","74600.0","68700.0"
167.0,"1090700.0","942400.0","76600.0","71700.0"
168.0,"1109800.0","959900.0","77400.0","72500.0"
169.0,"1129700.0","977200.0","78300.0","74200.0"
170.0,"1150400.0","993900.0","79800.0","76700.0"
171.0,"1171200.0","1012600.0","80600.0","78000.0"
172.0,"1191700.0","1029800.0","82900.0","79000.0"
173.0,"1216400.0","1045800.0","84800.0","85800.0"
174.0,"1239600.0","1063500.0","87100.0","89000.0"
175.0,"1262900.0","1082400.0","89400.0","91100.0"
176.0,"1285000.0","1101100.0","91200.0","92700.0"
177.0,"1308100.0","1121600.0","92700.0","93800.0"
178.0,"1326500.0","1135600.0","93800.0","97100.0"
179.0,"1355100.0","1158600.0","97000.0","99500.0"
180.0,"1375300.0","1175900.0","98200.0","101200.0"
181.0,"1401500.0","1190300.0","100600.0","110600.0"
182.0,"1428400.0","1213800.0","102500.0","112100.0"
183.0,"1454900.0","1236200.0","104400.0","114300.0"
184.0,"1477500.0","1255400.0","106400.0","115700.0"
185.0,"1507800.0","1278200.0","108400.0","121200.0"
186.0,"1529800.0","1296700.0","110800.0","122300.0"
187.0,"1558900.0","1320000.0","112500.0","126400.0"
188.0,"1584000.0","1340700.0","114600.0","128700.0"
189.0,"1608800.0","1361000.0","116700.0","131100.0"
190.0,"1630400.0","1378000.0","118500.0","133900.0"
191.0,"1660200.0","1402600.0","120300.0","137300.0"
192.0,"1689100.0","1418100.0","123200.0","147800.0"
193.0,"1725200.0","1447800.0","126400.0","151000.0"
194.0,"1754600.0","1473000.0","128200.0","153400.0"
195.0,"1788100.0","1501400.0","130700.0","156000.0"
196.0,"1817300.0","1520000.0","132900.0","164400.0"
197.0,"1848500.0","1545500.0","135800.0","167200.0"
198.0,"1875700.0","1567600.0","137900.0","170200.0"
199.0,"1907900.0","1591600.0","139500.0","176800.0"
200.0,"1935500.0","1614000.0","141600.0","179900.0"
201.0,"1973800.0","1643600.0","144800.0","185400.0"
202.0,"2008200.0","1670600.0","148200.0","189400.0"
203.0,"2051200.0","1692200.0","151900.0","207100.0"
204.0,"2083000.0","1715000.0","154500.0","213500.0"
205.0,"2116500.0","1742100.0","157600.0","216800.0"
206.0,"2148900.0","1764900.0","161200.0","222800.0"
207.0,"2182600.0","1792600.0","163700.0","226300.0"
208.0,"2211200.0","1813700.0","166400.0","231100.0"
209.0,"2245300.0","1840300.0","170400.0","234600.0"
210.0,"2273500.0","1863500.0","172800.0","237200.0"
211.0,"2305700.0","1878400.0","175400.0","251900.0"
212.0,"2349300.0","1914100.0","179100.0","256100.0"
213.0,"2393900.0","1950500.0","182300.0","261100.0"
214.0,"2434800.0","1982800.0","186800.0","265200.0"
215.0,"2479000.0","2012400.0","190800.0","275800.0"
216.0,"2513600.0","2040200.0","194000.0","279400.0"
217.0,"2549100.0","2064100.0","197100.0","287900.0"
218.0,"2579300.0","2088300.0","199700.0","291300.0"
219.0,"2612900.0","2112300.0","203000.0","297600.0"
220.0,"2639400.0","2133000.0","205200.0","301200.0"
221.0,"2672900.0","2159000.0","208200.0","305700.0"
222.0,"2715800.0","2179600.0","212800.0","323400.0"
223.0,"2764000.0","2211400.0","217100.0","335500.0"
224.0,"2806700.0","2244200.0","220900.0","341600.0"
225.0,"2845400.0","2274100.0","224100.0","347200.0"
226.0,"2879900.0","2297100.0","226800.0","356000.0"
227.0,"2919500.0","2327400.0","230600.0","361500.0"
228.0,"2953100.0","2354200.0","234000.0","364900.0"
229.0,"2986300.0","2377700.0","237200.0","371400.0"
230.0,"3017300.0","2401200.0","240400.0","375700.0"
231.0,"3072400.0","2429300.0","245200.0","397900.0"
232.0,"3116800.0","2461700.0","251100.0","404000.0"
233.0,"3172000.0","2506200.0","255500.0","410300.0"
234.0,"3213800.0","2530500.0","260000.0","423300.0"
235.0,"3252700.0","2561100.0","262800.0","428800.0"
236.0,"3287900.0","2582200.0","266400.0","439300.0"
237.0,"3322900.0","2607900.0","271200.0","443800.0"
238.0,"3352300.0","2630200.0","274100.0","448000.0"
239.0,"3384400.0","2649600.0","277100.0","457700.0"
240.0,"3410100.0","2669000.0","279700.0","461400.0"
241.0,"3463900.0","2707300.0","285300.0","471300.0"
242.0,"3519400.0","2750200.0","290500.0","478700.0"
243.0,"3565800.0","2766300.0","294600.0","504900.0"
244.0,"3605600.0","2788000.0","298400.0","519200.0"
245.0,"3645200.0","2817500.0","301800.0","525900.0"
246.0,"3678700.0","2841700.0","306000.0","531000.0"
247.0,"3709400.0","2858000.0","309600.0","541800.0"
248.0,"3738700.0","2878900.0","313700.0","546100.0"
249.0,"3767500.0","2896600.0","317200.0","553700.0"
250.0,"3787600.0","2910900.0","319900.0","556800.0"
251.0,"3847100.0","2952400.0","325800.0","568900.0"
252.0,"3893600.0","2988100.0","331200.0","574300.0"
253.0,"3938500.0","2999500.0","336300.0","602700.0"
254.0,"3975300.0","3017100.0","339900.0","618300.0"
255.0,"4012100.0","3044600.0","343800.0","623700.0"
256.0,"4041400.0","3066100.0","347000.0","628300.0"
257.0,"4069900.0","3081200.0","350200.0","638500.0"
258.0,"4096100.0","3100900.0","352600.0","642600.0"
259.0,"4121500.0","3116000.0","355200.0","650300.0"
260.0,"4144200.0","3132300.0","357600.0","654300.0"
261.0,"4201200.0","3153100.0","363100.0","685000.0"
262.0,"4247200.0","3187100.0","368600.0","691500.0"
263.0,"4291400.0","3218900.0","373700.0","698800.0"
264.0,"4326700.0","3233700.0","377200.0","715800.0"
265.0,"4359800.0","3257400.0","381200.0","721200.0"
266.0,"4385000.0","3267300.0","384500.0","733200.0"
267.0,"4411700.0","3286300.0","387100.0","738300.0"
268.0,"4432400.0","3299300.0","391300.0","741800.0"
269.0,"4451400.0","3307000.0","394100.0","750300.0"
270.0,"4468500.0","3320100.0","395700.0","752700.0"
271.0,"4526200.0","3358400.0","401400.0","766400.0"
272.0,"4571300.0","3389900.0","407100.0","774300.0"
273.0,"4609500.0","3396900.0","411800.0","800800.0"
274.0,"4644700.0","3411500.0","415800.0","817400.0"
275.0,"4673400.0","3432800.0","419200.0","821400.0"
276.0,"4699000.0","3450900.0","421800.0","826300.0"
277.0,"4721500.0","3460300.0","424200.0","837000.0"
278.0,"4738800.0","3473000.0","426500.0","839300.0"
279.0,"4758800.0","3481900.0","428900.0","848000.0"
280.0,"4771800.0","3492800.0","429900.0","849100.0"
281.0,"4782400.0","3481800.0","431000.0","869600.0"
282.0,"4823600.0","3511100.0","436600.0","875900.0"
283.0,"4864700.0","3541100.0","440800.0","882800.0"
284.0,"4897500.0","3555200.0","444200.0","898100.0"
285.0,"4926900.0","3576900.0","447900.0","902100.0"
286.0,"4949600.0","3584700.0","451500.0","913400.0"
287.0,"4973600.0","3602900.0","454200.0","916500.0"
288.0,"4989300.0","3607900.0","456400.0","925000.0"
289.0,"5004600.0","3620000.0","457700.0","926900.0"
290.0,"5018000.0","3625300.0","459200.0","933500.0"
291.0,"5028500.0","3633200.0","460300.0","935000.0"
292.0,"5068700.0","3643300.0","465100.0","960300.0"
