"tick","run","random_seed","Relative contribution of horizontal transfer","Relative contribution of vertical transfer","Relative contribution of transconjugants re-transfers"
0.0,1,1008711,"0.5183849571768948","0.48161504282310513","0.0"
1.0,1,1008711,"0.0","0.0","0.0"
2.0,1,1008711,"1.0","0.0","0.0"
3.0,1,1008711,"1.0","0.0","0.0"
4.0,1,1008711,"1.0","0.0","0.0"
5.0,1,1008711,"1.0","0.0","0.0"
6.0,1,1008711,"1.0","0.0","0.0"
7.0,1,1008711,"1.0","0.0","0.0"
8.0,1,1008711,"1.0","0.0","0.0"
9.0,1,1008711,"1.0","0.0","0.0"
10.0,1,1008711,"1.0","0.0","0.0"
11.0,1,1008711,"1.0","0.0","0.0"
12.0,1,1008711,"1.0","0.0","0.0"
13.0,1,1008711,"1.0","0.0","0.0"
14.0,1,1008711,"1.0","0.0","0.0"
15.0,1,1008711,"1.0","0.0","0.0"
16.0,1,1008711,"1.0","0.0","0.0"
17.0,1,1008711,"1.0","0.0","0.0"
18.0,1,1008711,"1.0","0.0","0.0"
19.0,1,1008711,"1.0","0.0","0.0"
20.0,1,1008711,"1.0","0.0","0.0"
21.0,1,1008711,"1.0","0.0","0.0"
22.0,1,1008711,"1.0","0.0","0.0"
23.0,1,1008711,"1.0","0.0","0.0"
24.0,1,1008711,"1.0","0.0","0.0"
25.0,1,1008711,"1.0","0.0","0.0"
26.0,1,1008711,"1.0","0.0","0.0"
27.0,1,1008711,"1.0","0.0","0.0"
28.0,1,1008711,"1.0","0.0","0.0"
29.0,1,1008711,"1.0","0.0","0.0"
30.0,1,1008711,"1.0","0.0","0.0"
31.0,1,1008711,"1.0","0.0","0.0"
32.0,1,1008711,"1.0","0.0","0.0"
33.0,1,1008711,"1.0","0.0","0.0"
34.0,1,1008711,"1.0","0.0","0.0"
35.0,1,1008711,"1.0","0.0","0.0"
36.0,1,1008711,"1.0","0.0","0.0"
37.0,1,1008711,"0.8","0.2","0.0"
38.0,1,1008711,"0.8","0.2","0.0"
39.0,1,1008711,"0.8333333333333334","0.16666666666666666","0.0"
40.0,1,1008711,"0.8333333333333334","0.16666666666666666","0.0"
41.0,1,1008711,"0.8571428571428571","0.14285714285714285","0.0"
42.0,1,1008711,"0.875","0.125","0.0"
43.0,1,1008711,"0.7777777777777778","0.2222222222222222","0.0"
44.0,1,1008711,"0.7777777777777778","0.2222222222222222","0.0"
45.0,1,1008711,"0.7777777777777778","0.2222222222222222","0.0"
46.0,1,1008711,"0.7777777777777778","0.2222222222222222","0.0"
47.0,1,1008711,"0.7777777777777778","0.2222222222222222","0.0"
48.0,1,1008711,"0.6363636363636364","0.36363636363636365","0.0"
49.0,1,1008711,"0.6363636363636364","0.36363636363636365","0.0"
50.0,1,1008711,"0.6363636363636364","0.36363636363636365","0.0"
51.0,1,1008711,"0.6363636363636364","0.36363636363636365","0.0"
52.0,1,1008711,"0.6363636363636364","0.36363636363636365","0.0"
53.0,1,1008711,"0.6666666666666666","0.3333333333333333","0.0"
54.0,1,1008711,"0.6666666666666666","0.3333333333333333","0.0"
55.0,1,1008711,"0.6666666666666666","0.3333333333333333","0.0"
56.0,1,1008711,"0.6666666666666666","0.3333333333333333","0.0"
57.0,1,1008711,"0.6666666666666666","0.3333333333333333","0.0"
58.0,1,1008711,"0.6666666666666666","0.3333333333333333","0.0"
59.0,1,1008711,"0.6666666666666666","0.3333333333333333","0.0"
60.0,1,1008711,"0.6666666666666666","0.3333333333333333","0.0"
61.0,1,1008711,"0.6923076923076923","0.3076923076923077","0.0"
62.0,1,1008711,"0.6923076923076923","0.3076923076923077","0.0"
63.0,1,1008711,"0.75","0.25","0.0"
64.0,1,1008711,"0.75","0.25","0.0"
65.0,1,1008711,"0.75","0.25","0.0"
66.0,1,1008711,"0.7058823529411765","0.29411764705882354","0.0"
67.0,1,1008711,"0.7222222222222222","0.2777777777777778","0.0"
68.0,1,1008711,"0.7222222222222222","0.2777777777777778","0.0"
69.0,1,1008711,"0.7368421052631579","0.2631578947368421","0.0"
70.0,1,1008711,"0.7","0.3","0.0"
71.0,1,1008711,"0.7","0.3","0.0"
72.0,1,1008711,"0.6818181818181818","0.3181818181818182","0.0"
73.0,1,1008711,"0.7142857142857143","0.2857142857142857","0.0"
74.0,1,1008711,"0.6896551724137931","0.3103448275862069","0.0"
75.0,1,1008711,"0.6896551724137931","0.3103448275862069","0.0"
76.0,1,1008711,"0.7096774193548387","0.2903225806451613","0.0"
77.0,1,1008711,"0.6875","0.3125","0.0"
78.0,1,1008711,"0.6875","0.3125","0.0"
79.0,1,1008711,"0.6470588235294118","0.35294117647058826","0.0"
80.0,1,1008711,"0.6486486486486487","0.35135135135135137","0.0"
81.0,1,1008711,"0.6578947368421053","0.34210526315789475","0.0"
82.0,1,1008711,"0.6888888888888889","0.3111111111111111","0.0"
83.0,1,1008711,"0.6888888888888889","0.3111111111111111","0.0"
84.0,1,1008711,"0.6739130434782609","0.32608695652173914","0.0"
85.0,1,1008711,"0.6458333333333334","0.3541666666666667","0.0"
86.0,1,1008711,"0.6326530612244898","0.3673469387755102","0.0"
87.0,1,1008711,"0.6346153846153846","0.36538461538461536","0.0"
88.0,1,1008711,"0.6181818181818182","0.38181818181818183","0.0"
89.0,1,1008711,"0.5964912280701754","0.40350877192982454","0.0"
90.0,1,1008711,"0.5964912280701754","0.40350877192982454","0.0"
91.0,1,1008711,"0.603448275862069","0.39655172413793105","0.0"
92.0,1,1008711,"0.5833333333333334","0.4166666666666667","0.0"
93.0,1,1008711,"0.6376811594202898","0.36231884057971014","0.0"
94.0,1,1008711,"0.6338028169014085","0.36619718309859156","0.0"
95.0,1,1008711,"0.6338028169014085","0.36619718309859156","0.0"
96.0,1,1008711,"0.5921052631578947","0.40789473684210525","0.0"
97.0,1,1008711,"0.5822784810126582","0.4177215189873418","0.0"
98.0,1,1008711,"0.5822784810126582","0.4177215189873418","0.0"
99.0,1,1008711,"0.5875","0.4125","0.0"
100.0,1,1008711,"0.5975609756097561","0.4024390243902439","0.0"
101.0,1,1008711,"0.5903614457831325","0.40963855421686746","0.0"
102.0,1,1008711,"0.5833333333333334","0.4166666666666667","0.0"
103.0,1,1008711,"0.5978260869565217","0.40217391304347827","0.0"
104.0,1,1008711,"0.59375","0.40625","0.0"
105.0,1,1008711,"0.5918367346938775","0.40816326530612246","0.0"
106.0,1,1008711,"0.59","0.41","0.0"
107.0,1,1008711,"0.5904761904761905","0.4095238095238095","0.0"
108.0,1,1008711,"0.5849056603773585","0.41509433962264153","0.0"
109.0,1,1008711,"0.5779816513761468","0.42201834862385323","0.0"
110.0,1,1008711,"0.5625","0.4375","0.0"
111.0,1,1008711,"0.5384615384615384","0.46153846153846156","0.0"
112.0,1,1008711,"0.5851851851851851","0.4148148148148148","0.0"
113.0,1,1008711,"0.5808823529411765","0.41911764705882354","0.0"
114.0,1,1008711,"0.5704225352112676","0.4295774647887324","0.0"
115.0,1,1008711,"0.5625","0.4375","0.0"
116.0,1,1008711,"0.5466666666666666","0.4533333333333333","0.0"
117.0,1,1008711,"0.5394736842105263","0.4605263157894737","0.0"
118.0,1,1008711,"0.54375","0.45625","0.0"
119.0,1,1008711,"0.5403726708074534","0.45962732919254656","0.0"
120.0,1,1008711,"0.5117647058823529","0.48823529411764705","0.0"
121.0,1,1008711,"0.5084745762711864","0.4915254237288136","0.0"
122.0,1,1008711,"0.5364583333333334","0.4635416666666667","0.0"
123.0,1,1008711,"0.533678756476684","0.46632124352331605","0.0"
124.0,1,1008711,"0.5380710659898477","0.4619289340101523","0.0"
125.0,1,1008711,"0.527363184079602","0.472636815920398","0.0"
126.0,1,1008711,"0.5169082125603864","0.4830917874396135","0.0"
127.0,1,1008711,"0.5119617224880383","0.4880382775119617","0.0"
128.0,1,1008711,"0.5209302325581395","0.4790697674418605","0.0"
129.0,1,1008711,"0.5137614678899083","0.48623853211009177","0.0"
130.0,1,1008711,"0.5089285714285714","0.49107142857142855","0.0"
131.0,1,1008711,"0.4956521739130435","0.5043478260869565","0.0"
132.0,1,1008711,"0.5198412698412699","0.4801587301587302","0.0"
133.0,1,1008711,"0.5077519379844961","0.49224806201550386","0.0"
134.0,1,1008711,"0.5076335877862596","0.49236641221374045","0.0"
135.0,1,1008711,"0.5057034220532319","0.49429657794676807","0.0"
136.0,1,1008711,"0.5074626865671642","0.4925373134328358","0.0"
137.0,1,1008711,"0.49642857142857144","0.5035714285714286","0.0"
