"Time","run","random_seed","gamma0","gamma0d","gamma0t","gammaI","Density","GammaEp","Rate","Plasmid","G","Gd","Gr","Gt","N","Nd","Nr","Nt","RCh","RCv","RCt","WetLabRateCurve"
"-1.0",1,4745,"0.0","0.0","0.0","0.0","0.04888888888888889","0.0","0.0","OriTR388","0.0","31.04870440483542","0.0","0.0","45000.0","2200.0","42800.0","0.0","0.0","0.0","0.0","0.0019546068"
"5.0",1,4745,"0.0","0.0","0.0","0.0","0.04888888888888889","0.0","0.0","OriTR388","0.0","0.0","0.0","0.0","45000.0","2200.0","42800.0","0.0","0.0","0.0","0.0","5.641499999999998E-4"
"15.0",1,4745,"0.0","0.0","0.0","0.0","0.04893617021276596","0.0","0.0","OriTR388","0.0","0.0","0.0","0.0","47000.0","2300.0","44700.0","0.0","0.0","0.0","0.0","-0.00103795"
"25.0",1,4745,"1.0","1.0","0.0","0.038461538461538464","0.043782837127845885","1.745566125764284E-10","0.0018315018315018315","OriTR388","73.24979966653667","0.0","71.83510380856607","0.0","57100.0","2500.0","54500.0","100.0","1.0","0.0","0.0","-0.0017812500000000003"
"35.0",1,4745,"0.3333333333333333","0.3333333333333333","0.0","0.02127659574468085","0.05363528009535161","1.1369525232076229E-10","0.0025188916876574307","OriTR388","39.201930447741496","35.23257070335081","39.606026123858186","0.0","83900.0","4500.0","79200.0","200.0","0.5","0.5","0.0","-0.0017065500000000005"
"45.0",1,4745,"0.2","0.2","0.0","0.02040816326530612","0.048205128205128206","7.747467371469104E-11","0.0021551724137931034","OriTR388","40.60954250640097","42.62491334066848","39.606026123858186","0.0","97500.0","4700.0","92600.0","200.0","0.5","0.5","0.0","-8.546499999999991E-4"
"55.0",1,4745,"0.14285714285714285","0.14285714285714285","0.0","0.017857142857142856","0.04470198675496689","4.8743455720266816E-11","0.0017331022530329288","OriTR388","38.863226935740535","43.83528112329855","38.71320166735637","0.0","120800.0","5400.0","115200.0","200.0","0.5","0.5","0.0","7.336500000000004E-4"
"65.0",1,4745,"0.2222222222222222","0.2222222222222222","0.0","0.046511627906976744","0.050216986980781156","5.761379747620562E-11","0.0032637075718015664","OriTR388","35.52704419674033","35.40694077377398","38.71320166735637","0.0","161300.0","8100.0","152700.0","500.0","0.8","0.2","0.0","0.003017550000000001"
"75.0",1,4745,"0.24324324324324326","0.24324324324324326","0.0","0.08333333333333333","0.048582995951417005","8.671008858369062E-11","0.006382978723404255","OriTR388","35.369090008614265","36.069956799436305","38.71320166735637","0.0","197600.0","9600.0","186800.0","1200.0","0.75","0.25","0.0","0.00595625"
"85.0",1,4745,"0.3018867924528302","0.3018867924528302","0.0","0.11678832116788321","0.04677882642593353","1.0465473108434605E-10","0.009900990099009901","OriTR388","35.10914057186622","36.54996378459882","38.71320166735637","0.0","243700.0","11400.0","230000.0","2300.0","0.6956521739130435","0.30434782608695654","0.0","0.009508949999999999"
